Modelo,SMAPE,RMSE,MAE,Dataset
updrs_1,46.60050605675913,5.052102138910392,25.52373602198296,24 Meses
updrs_2,44.982563908722014,4.855534132835936,23.576211715134818,24 Meses
updrs_3,38.612855311782155,11.657906988054744,135.90679534213564,24 Meses
updrs_4,142.0869371762298,3.2690367589398983,10.686601331300274,24 Meses
Media,68.07071561337328,6.208645004685242,48.923336102638416,24 Meses
updrs_1,58.305776707166565,6.1352347792256765,37.64110579622033,36 Meses
updrs_2,52.360743919872,5.808686923277768,33.740843772658145,36 Meses
updrs_3,44.05934658450416,13.455023105377897,181.0376467662531,36 Meses
updrs_4,146.5547937008167,3.6261669440403033,13.149086706050593,36 Meses
Media,75.32016522808985,7.256277937980411,66.39217076029554,36 Meses
